AN;MOIS;PAX_Depart;PAX_Arrivee;PAX_Transit;FRP_Depart;FRP_Arrivee;NMVT_Mixte;NMVT_Cargo
1990;03;185231;184140;23731;1726,8;2672,6;4222;567
1990;03;203982;196560;11784;1227,1;1187,4;8967;249
1990;03;19171;16672;270;14,9;43,6;337;0
1990;03;41169;38624;636;324,3;363,9;901;123
1990;03;1722;1669;336;1,6;0;169;0
1990;03;5741;5376;0;161,4;196,2;293;131
1990;03;5695;6302;18;0;27,1;96;1
1990;03;1483;1804;920;0,3;0,5;499;0
1990;03;1628;1570;0;0;0;492;1
1990;03;719;720;16;0;0;131;0
1990;03;869376;916245;17193;30929,1;31058,7;18662;963
1990;03;949909;999516;8310;13485,4;11800,1;15857;729
1990;03;27812;27878;1571;189,3;230,7;1278;236
1990;03;20530;19524;89;161,2;210,4;854;46
1990;03;1286;1346;0;2,5;0;282;0
1990;03;1728;1851;19;5,4;1,1;208;0
1990;03;628;816;0;29,5;11,5;97;0
1990;03;9599;9351;29;1,9;24,9;197;0
1990;03;70;1529;0;0;1,6;79;0
1990;03;1372;1334;349;0;0;341;0
1990;03;8157;7952;171;41,6;59,6;777;46
1990;03;1069;1053;0;2,5;0;80;0
1990;03;4178;4141;10;2,5;8,6;147;4
1990;03;43226;42180;5326;146;187,6;1805;221
1990;03;802;881;1579;0;0;225;0
1990;03;60958;62183;1219;749,5;702,7;3442;465
1990;03;1364;996;2;0;0;489;0
1990;03;8854;8358;37;0,8;0,6;924;1
1990;03;2777;2883;11;0,3;0,2;301;0
1990;03;554;545;5;0;0;120;0
1990;03;62690;61648;803;437,1;281,3;1643;91
1990;03;22133;20261;170;25,1;61,4;298;0
1990;03;16092;14874;244;13,5;9;340;0
1990;03;1131;995;0;3,9;18,7;250;0
1990;03;534;502;744;2,9;15,9;68;0
1990;03;29121;30049;3856;121,4;546;2684;0
1990;03;578;383;0;3,9;5,2;32;0
1990;03;446;437;193;2;3,6;60;0
1990;03;4485;4347;200;1,8;7,7;322;0
1990;03;1315;1261;806;9,3;6,3;165;0
1990;03;1643;1624;2130;1,8;3,7;270;0
1990;03;7215;6691;685;0,1;0;1787;0
1990;03;2705;2591;1077;3,2;11;266;0
1990;03;2881;2980;0;3;15;238;0
1990;03;2220;2533;13;4;22,7;240;0
1990;03;7971;7407;0;61,8;12,7;835;0
1990;03;1269;1320;27;4,8;10,9;148;0
1990;03;801;877;4;1,1;11,6;107;0
1990;03;8816;9781;590;199,5;548,4;192;0
1990;03;12306;11041;3144;274,8;490,8;705;45
1990;03;756;575;0;2,9;0,8;159;6
1990;03;49178;45622;9174;960,1;809,3;2182;119
1990;03;1241;1057;0;1,7;6,6;452;0
1990;03;8093;7740;242;2,4;9,1;1693;0
1990;03;1295;1445;0;1,4;4,8;207;0
1990;03;51446;50848;22800;1185,3;837,9;2480;68
1990;03;4233;4063;74;8,5;3,6;1921;8
1990;03;5049;4974;1201;25,8;31;1376;19
1990;04;1277;1240;0;5,6;27,5;106;4
1990;04;29873;24680;1854;303,2;1111,7;714;31
1990;04;656;693;12;1,1;0;134;1
1990;04;1205;1202;25;0;0;167;0
1990;04;113163;112281;11168;450,4;522,3;2669;110
1990;04;1349;1470;2221;0;0;334;0
1990;04;1786;1921;0;0;0;120;0
1990;04;1282;1315;846;22,1;36,6;260;66
1990;04;7588;7139;545;8,8;9;371;0
1990;04;141215;139274;7738;624,5;1408,9;3011;184
1990;04;23095;23381;1043;93,7;95,8;685;35
1990;04;19069;20845;79;0,8;12,7;390;0
1990;04;1627;1492;394;1,2;1,1;285;0
1990;04;732;684;0;0;0;89;0
